D-006: Support Client;;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Support client;;;;;;;
N° / RÉF;D-006;;;;;;;
Date de création du traitement;15/03/2024;;;;;;;
Mise à jour du traitement;15/03/2024;;;;;;;
Date de validation du DPO;18/03/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;DUPONT Martin (CEO);123 allée du bois;‘00000;Fictif;France;‘06060606;m.dupont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Gestion des demandes de support client (plaintes, questions techniques) pour les utilisateurs de SantéConnect, à l’exclusion de toute donnée de santé (Intérêt légitime: RGPD art. 6.1.f RGPD);;;;;;;
Sous-finalité 1;Résolution des incidents techniques (ex : problèmes d’accès, bugs d’authentification);;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
État civil, identité, données d'identification, images…;Identité (nom, prénom, email, numéro de téléphone);;1 an ;;Intérêt légitime;;Non;
Données de connexion (adress IP, logs, etc.);Journal d’accès et d’utilisation (sans accès aux données de santé), adresse IP, horodatage;;1 an;;Intérêt légitime;;Non;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Clients;;;Clientèle plutôt senior ayant donné un consentement éclairé et à tout moment rétractable pour utilisation du service;;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Service IT/Support (résolution des incidents techniques), accès limité: nom, email, logs techniques (pas de données de santé);;;;
Destinataire 2;Service interne qui traite les données;;;Service Produit ((analyse des retours pour amélioration), accès limité: retours anonymisés (pas de données personnelles);;;;
Destinataire 3;Service interne qui traite les données;;;Comptabilité (suivi facturation);;;;
Destinataire 4;Partenaires institutionnels ou commerciaux;;;"CHU pour flux techniques uniquement (authentification, logs d'accès API): aucun accès aux données de santé""";;;;
Destinataire 5;Sous-traitants;;;Hébergement: contrat de sous-traitance (RGPD art. 28), stockage des tickets et logs support;;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Chiffrement des données;;;TLS 1.3 (transit) + AES-256 (repos pour les logs);;;;
Mesure de sécurité 2;Contrôle d'accès des utilisateurs;;;Accès restreint au Service IT/Support (principe du least privilege). Journalisation des accès aux logs (6 mois).;;;;
Mesure de sécurité 3;Autres mesures (à préciser);;;Anonymisation des retours avant traitement par Service Produit;;;;
Mesure de sécurité 4;Mesures de traçabilité;;;"
Les demandes de support sont traçables (ticketing système avec horodatage)";;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;"Aucun transfert hors UE. Tous les sous-traitants (hébergement: OVH) sont basés en France ou dans l’UE.""";;;
